sample-id	condition	sample-number
#q2:types	categorical	numeric
sample1	Control_Start	5
sample2	Treatment_Start	5
sample3	Treatment_Start	4
sample4	Treatment_Start	3
sample5	Control_Start	4
sample6	Control_Start	3
sample7	Control_End	8
sample8	Control_End	7
sample9	Control_End	6
sample10	Treatment_End	9
sample11	Treatment_Start	2
sample12	Treatment_End	8
sample13	Treatment_End	7
sample14	Control_End	5
sample15	Treatment_End	6
sample16	Treatment_End	5
sample17	Treatment_End	4
sample18	Treatment_End	3
sample19	Control_End	4
sample20	Control_End	3
sample21	Control_End	2
sample22	Control_Start	2
sample23	Treatment_End	2
sample24	Treatment_End	1
sample25	Control_End	1
sample26	Control_Start	8
sample27	Control_Start	7
sample28	Control_Start	6
sample29	Treatment_Start	9
sample30	Treatment_Start	8
sample31	Treatment_Start	7
sample32	Treatment_Start	6
sample33	Treatment_Start	1
sample34	Control_Start	1
